City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,port lincoln,-34.7333,135.8667,289.1,70,30,3.4,AU,2024-10-26 15:00:00
1,talnakh,69.4865,88.3972,252.84,88,9,2.11,RU,2024-10-26 15:00:00
2,bonaberi,4.0779,9.6759,305.13,66,40,2.59,CM,2024-10-26 15:00:00
3,nar'yan-mar,67.6713,53.087,275.04,96,100,6.38,RU,2024-10-26 15:00:00
4,adamstown,-25.066,-130.1015,292.16,90,100,6.94,PN,2024-10-26 15:00:00
5,kalemie,-5.9475,29.1947,296.49,78,100,3.82,CD,2024-10-26 15:00:00
6,port elizabeth,-33.918,25.5701,293.88,72,20,8.92,ZA,2024-10-26 15:00:00
7,preston,53.7667,-2.7167,287.06,71,43,4.14,GB,2024-10-26 15:00:00
8,wailua homesteads,22.0669,-159.378,296.51,93,75,2.05,US,2024-10-26 15:00:00
9,grytviken,-54.2811,-36.5092,272.32,75,84,2.02,GS,2024-10-26 15:00:00
10,waitangi,-43.9535,-176.5597,286.94,96,100,9.51,NZ,2024-10-26 15:00:00
11,tiksi,71.6872,128.8694,253.81,99,100,1.01,RU,2024-10-26 15:00:00
12,hawaiian paradise park,19.5933,-154.9731,296.86,99,100,2.09,US,2024-10-26 15:00:00
13,edinburgh of the seven seas,-37.0676,-12.3116,287.96,91,100,14.02,SH,2024-10-26 15:00:00
14,margaret river,-33.95,115.0667,284.57,80,6,3.57,AU,2024-10-26 15:00:00
15,ushuaia,-54.8,-68.3,281.57,70,75,1.64,AR,2024-10-26 15:00:00
16,thompson,55.7435,-97.8558,270.82,93,20,2.02,CA,2024-10-26 15:00:00
17,olonkinbyen,70.9221,-8.7187,274.2,80,86,3.76,SJ,2024-10-26 15:00:00
18,port-aux-francais,-49.35,70.2167,274.94,69,14,13.65,TF,2024-10-26 15:00:00
19,anchorage,61.2181,-149.9003,271.69,75,0,1.96,US,2024-10-26 15:00:00
20,hobyo,5.3505,48.5268,299.91,81,72,4.3,SO,2024-10-26 15:00:00
21,happy valley-goose bay,53.3168,-60.3315,276.41,86,75,0.98,CA,2024-10-26 15:00:00
22,college,64.8569,-147.8028,256.94,82,0,1.18,US,2024-10-26 15:00:00
23,el calafate,-50.3408,-72.2768,282.8,65,17,5.17,AR,2024-10-26 15:00:00
24,anadyr,64.75,177.4833,271.93,79,40,9.2,RU,2024-10-26 15:00:00
25,invercargill,-46.4,168.35,279.83,91,100,4.55,NZ,2024-10-26 15:00:00
26,baruun-urt,46.6806,113.2792,273.6,56,0,3.49,MN,2024-10-26 15:00:00
27,iqaluit,63.7506,-68.5145,272.98,86,75,2.0,CA,2024-10-26 15:00:00
28,rio grande,-32.035,-52.0986,289.7,54,2,6.54,BR,2024-10-26 15:00:00
29,tindouf,27.6711,-8.1474,301.73,26,0,7.38,DZ,2024-10-26 15:00:00
30,arraial do cabo,-22.9661,-42.0278,307.07,46,0,3.54,BR,2024-10-26 15:00:00
31,lata,40.1629,-8.3327,286.39,81,97,3.21,PT,2024-10-26 15:00:00
32,as sulayyil,20.4607,45.5779,303.09,29,16,4.81,SA,2024-10-26 15:00:00
33,lamu,-2.2717,40.902,299.98,85,16,4.46,KE,2024-10-26 15:00:00
34,tazacorte,28.629,-17.9293,296.01,63,75,3.83,ES,2024-10-26 15:00:00
35,udachny,66.4167,112.4,263.53,96,100,1.66,RU,2024-10-26 15:00:00
36,callao,-12.0667,-77.15,291.06,82,100,2.35,PE,2024-10-26 15:00:00
37,puerto ayora,-0.7393,-90.3518,294.01,94,100,4.72,EC,2024-10-26 15:00:00
38,haiku-pauwela,20.9219,-156.3051,297.44,92,40,5.8,US,2024-10-26 15:00:00
39,magistral'nyy,56.1725,107.4458,276.26,92,100,2.55,RU,2024-10-26 15:00:00
40,port mathurin,-19.6833,63.4167,296.91,89,34,6.87,MU,2024-10-26 15:00:00
41,carnarvon,-24.8667,113.6333,293.32,78,0,12.55,AU,2024-10-26 15:00:00
42,mwinilunga,-11.7358,24.4293,301.8,32,94,1.9,ZM,2024-10-26 15:00:00
43,praia,14.9215,-23.5087,304.45,58,40,6.42,CV,2024-10-26 15:00:00
44,kodiak,57.79,-152.4072,276.88,87,100,4.4,US,2024-10-26 15:00:00
45,isafjordur,66.0755,-23.124,275.17,87,100,8.97,IS,2024-10-26 15:00:00
46,kampong thom,12.7111,104.8887,298.02,85,100,1.73,KH,2024-10-26 15:00:00
47,bandipura,34.4167,74.65,289.7,24,0,3.6,IN,2024-10-26 15:00:00
48,el porvenir,13.7617,-87.3458,302.08,61,90,2.11,HN,2024-10-26 15:00:00
49,san antonio de pale,-1.4014,5.6325,298.55,81,96,4.72,GQ,2024-10-26 15:00:00
50,remire-montjoly,4.9167,-52.2667,305.17,62,75,5.85,GF,2024-10-26 15:00:00
51,blackmans bay,-43.0167,147.3167,284.55,65,100,3.72,AU,2024-10-26 15:00:00
52,utrik,11.2278,169.8474,301.5,79,97,4.17,MH,2024-10-26 15:00:00
53,aral,40.5156,81.2636,285.61,30,54,1.41,CN,2024-10-26 15:00:00
54,elverum,60.8819,11.5623,279.6,93,69,1.54,NO,2024-10-26 15:00:00
55,codrington,-38.2667,141.9667,285.17,77,54,2.2,AU,2024-10-26 15:00:00
56,punta alta,-38.8759,-62.0736,292.81,37,0,4.91,AR,2024-10-26 15:00:00
57,moree,-29.4667,149.85,291.75,29,100,2.77,AU,2024-10-26 15:00:00
58,tabou,4.423,-7.3528,300.71,78,65,3.11,CI,2024-10-26 15:00:00
59,bien hoa,10.95,106.8167,302.14,88,100,3.27,VN,2024-10-26 15:00:00
60,tagta,41.6504,59.9164,287.61,67,0,3.67,TM,2024-10-26 15:00:00
61,hamilton,39.1834,-84.5333,285.88,71,0,3.7,US,2024-10-26 15:00:00
62,bredasdorp,-34.5322,20.0403,292.44,61,100,6.98,ZA,2024-10-26 15:00:00
63,fortuna,40.5982,-124.1573,286.56,69,52,2.55,US,2024-10-26 15:00:00
64,papatowai,-46.5619,169.4708,279.12,98,100,6.97,NZ,2024-10-26 15:00:00
65,chernyshevsk,52.5243,117.0174,263.87,98,100,0.95,RU,2024-10-26 15:00:00
66,tsiroanomandidy,-18.7667,46.0333,302.02,30,87,2.16,MG,2024-10-26 15:00:00
67,kone,-21.0595,164.8658,294.13,90,96,1.23,NC,2024-10-26 15:00:00
68,vernon,50.2581,-119.2691,279.44,87,99,0.21,CA,2024-10-26 15:00:00
69,inza,53.8533,46.3586,278.25,67,100,2.41,RU,2024-10-26 15:00:00
70,lihue,21.9789,-159.3672,296.9,91,75,2.05,US,2024-10-26 15:00:00
71,enewetak,11.3474,162.3373,301.8,76,95,5.15,MH,2024-10-26 15:00:00
72,hami,42.8,93.45,286.91,31,0,3.4,CN,2024-10-26 15:00:00
73,richfield,44.8833,-93.283,281.84,81,40,1.4,US,2024-10-26 15:00:00
74,quellon,-43.1167,-73.6167,285.49,65,25,2.11,CL,2024-10-26 15:00:00
75,tolanaro,-25.0319,46.9987,299.19,78,20,0.68,MG,2024-10-26 15:00:00
76,taoudenni,22.6783,-3.9836,306.6,16,97,3.38,ML,2024-10-26 15:00:00
77,georgetown,5.4112,100.3354,299.61,88,20,1.09,MY,2024-10-26 15:00:00
78,queenstown,-31.8976,26.8753,297.21,26,0,6.41,ZA,2024-10-26 15:00:00
79,outjo,-20.1167,16.15,308.26,8,37,12.37,NA,2024-10-26 15:00:00
80,sitka,57.0531,-135.33,282.09,57,100,4.24,US,2024-10-26 15:00:00
81,coronel dorrego,-38.7187,-61.2873,293.3,27,0,7.95,AR,2024-10-26 15:00:00
82,nuuk,64.1835,-51.7216,271.61,74,40,4.06,GL,2024-10-26 15:00:00
83,shingu,33.7333,135.9833,293.6,91,100,2.66,JP,2024-10-26 15:00:00
84,aasiaat,68.7098,-52.8699,267.3,89,100,2.34,GL,2024-10-26 15:00:00
85,khandyga,62.6667,135.6,260.4,96,100,0.86,RU,2024-10-26 15:00:00
86,tambacounda,13.7539,-13.7586,310.18,32,0,2.82,SN,2024-10-26 15:00:00
87,bethel,41.3712,-73.414,288.72,51,0,5.16,US,2024-10-26 15:00:00
88,cerasu,45.3167,26.0333,284.5,59,0,1.5,RO,2024-10-26 15:00:00
89,westport,41.1415,-73.3579,289.66,51,0,6.6,US,2024-10-26 15:00:00
90,dryden,49.7833,-92.7503,276.02,93,20,3.52,CA,2024-10-26 15:00:00
91,eduardo castex,-35.915,-64.2945,295.63,26,0,5.67,AR,2024-10-26 15:00:00
92,manta,-0.95,-80.7333,298.55,71,82,2.99,EC,2024-10-26 15:00:00
93,puerto natales,-51.7236,-72.4875,285.4,54,40,6.65,CL,2024-10-26 15:00:00
94,sisimiut,66.9395,-53.6735,269.94,81,91,6.04,GL,2024-10-26 15:00:00
95,quemado de guines,22.7853,-80.2536,299.53,75,73,6.03,CU,2024-10-26 15:00:00
96,greymouth,-42.4667,171.2,283.05,91,58,3.38,NZ,2024-10-26 15:00:00
97,bolintin deal,44.4592,25.8211,291.07,29,0,1.61,RO,2024-10-26 15:00:00
98,albany,42.6001,-73.9662,284.4,69,93,6.14,US,2024-10-26 15:00:00
99,ribeira grande,38.5167,-28.7,293.37,60,20,2.79,PT,2024-10-26 15:00:00
